cell_id,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,calculated_NP_ratio,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C,5C
126,13.24,23.85,41,8.12,38.46,58.3,1.09,130.93,149.7,116.82,55.51,15.46,16.57,34.83,
127,13.11,18.84,38.1,8.38,30,52.9,1.13,144.89,137.68,109.6,80.48,55.53,37.16,19.42,
128,13.24,19.74,38.9,8.57,32.94,56.5,1.15,155.64,150.88,126.27,95.76,64.63,41.78,22.44,
129,12.73,18.64,36.9,8.57,31.23,55.1,1.19,153.66,149.89,123.55,96.34,64.09,40.65,21.72,
130,13.37,20.6,39.7,8.51,24.49,49.8,1.13,158.44,148,123.13,92.73,58.75,39.92,20.47,
131,12.86,17.38,36.7,8.45,32.52,55.3,1.16,149.73,146.65,128.97,103.51,72.1,48.24,26.52,
132,12.86,18.27,37.1,8.45,32.76,55.5,1.16,153.57,143.13,122.26,96.59,65.5,43.88,26.73,
133,13.24,20.35,39.2,8.45,32.76,55.5,1.13,164.84,162.98,151.29,135.26,102.28,65.46,31.33,
134,13.5,20.05,39.8,8.45,29.46,52.9,1.11,153.96,147.36,128.7,103.35,77.08,55.48,31.85,
135,13.11,19.48,38.4,8.51,31,54.5,1.15,157.2,153.34,126.62,99.27,69.42,46.56,25.99,
136,12.86,20.42,38.1,8.64,23.19,49.7,1.19,163.68,152.72,130.35,109.69,96.06,80.3,47.28,
137,13.11,19.69,38.5,8.77,23.57,50.7,1.18,161.9,151.04,128.39,109.92,89.98,65.76,34.76,
138,13.37,21.39,40.1,8.51,31.51,54.9,1.13,166.94,156.91,145.65,135.52,112.18,71.44,32.24,
139,12.99,19.42,38,8.51,24.79,50,1.16,160.8,153.21,126.77,104.11,82.72,57.64,29.82,
140,13.11,19.48,38.4,8.57,22.67,49,1.16,164.09,153.44,132.25,112.42,96.97,73.8,38.83,
141,12.86,16.93,36.5,8.7,23.38,50.2,1.2,160.17,150.91,129.18,108.41,86.69,61.45,31.31,
142,12.99,17.91,37.3,8.57,33.76,57.2,1.17,153.53,152.05,130.66,114.75,82.61,53.95,26.77,
143,12.99,23.45,40,8.57,25.27,50.7,1.17,133.19,135.3,106.64,87.99,73.45,54.9,28.66,
144,13.24,22.14,40.1,8.57,22.67,49,1.15,155.43,144.36,119.34,93.69,71.04,53.36,30.61,
145,13.5,22.58,41.1,8.64,23.65,50,1.13,134.58,125.05,100.2,69.57,51.12,35.19,17.44,
146,13.11,23.46,40.4,8.45,29.19,52.7,1.14,159.08,148.02,123.9,104.7,79.85,53.24,28.29,
147,13.24,30.62,45,8.25,40.24,61,1.1,182.52,170.73,165.36,159.77,148.29,107.34,39.3,
148,13.5,29.29,45,8.38,39.3,61,1.1,121.09,142.72,150.4,151.45,147.87,118.74,58.79,
149,13.37,29.95,45,8.38,39.3,61,1.11,176.05,161.72,156.91,159.67,151.07,127.84,75.54,
150,13.24,30.62,45,8.19,40.71,61,1.1,180.77,166.18,165.98,162.25,154.19,133.51,74.77,
151,13.37,29.95,45,8.32,39.77,61,1.1,172.36,163.77,159.16,153.43,137.05,102.35,51.18,
152,13.5,29.29,45,8.19,40.71,61,1.07,180.32,170.79,166.23,161.46,152.23,115.72,46.65,
153,13.5,33.71,48,8.57,31.23,55.1,1.12,173.63,163.39,161.46,158.32,149.7,123.53,63.79,
154,12.99,37.51,49,8.45,33.25,55.9,1.15,180.93,166.17,161.01,155.43,153,134.04,77.45,
