,cell_id,cathode_weight,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,energy_0.1C,energy_0.2C,energy_0.5C,energy_1C,energy_2C,energy_3C,energy_5C,energy_density_0.1C,energy_density_0.2C,energy_density_0.5C,energy_density_1C,energy_density_2C,energy_density_3C,energy_density_5C,capacity_0.1C,capacity_0.2C,capacity_0.5C,capacity_1C,capacity_2C,capacity_3C,capacity_5C,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C
52,1.3-15,0.0074,10.1859,31.9653,35.3,7.0158,0.4038,52.0,0.0046,0.0043,0.0038,0.0034,0.0028,0.0024,0.0016,0.6219,0.5715,0.5168,0.4499,0.3742,0.3198,0.2152,1.2819999999999998,1.153,1.04,0.9159999999999999,0.7829999999999999,0.687,0.47600000000000003,172.3118,154.9731,139.785,123.1183,105.2419,92.3387,63.9785
53,1.3-16,0.0077,10.5679,32.6572,37.0,7.0808,0.3983,52.0,0.0046,0.0043,0.0038,0.0033,0.0028,0.0024,0.0014,0.6007,0.5542,0.4913,0.4307,0.3589,0.3053,0.1859,1.2930000000000001,1.155,1.022,0.9059999999999999,0.777,0.68,0.426,167.4871,149.6114,132.3834,117.3575,100.6477,88.0829,55.1814
54,1.3-17,0.0077,10.5679,31.3585,36.3,7.0808,0.4108,53.1,0.0046,0.0045,0.0041,0.0036,0.0029,0.0023,0.0014,0.6005,0.5766,0.5299,0.4617,0.3697,0.2961,0.1797,1.297,1.212,1.109,0.978,0.805,0.6609999999999999,0.41200000000000003,168.0052,156.9948,143.6529,126.6839,104.2746,85.6218,53.3679
55,1.3-18,0.0076,10.4406,36.3911,38.7,7.0808,0.3705,49.7,0.0046,0.0044,0.0041,0.0039,0.0035,0.0031,0.0021,0.6043,0.5758,0.5329999999999999,0.506,0.4583,0.4102,0.2708,1.281,1.186,1.0979999999999999,1.056,0.983,0.9009999999999999,0.61,167.8899,155.4391,143.9056,138.4011,128.8336,118.0865,79.9476
56,1.3-19,0.0076,10.4406,30.0663,35.2,7.2107,0.4207,55.0,0.0047,0.0044,0.0041,0.0037,0.0032,0.0027,0.0015,0.6168,0.5809,0.5336,0.4877,0.425,0.359,0.1946,1.305,1.199,1.104,1.022,0.914,0.79,0.43799999999999994,171.0354,157.1429,144.692,133.945,119.7903,103.5387,57.405
57,1.3-20,0.0076,10.4406,31.6204,36.0,6.9508,0.4238,53.3,0.0047,0.0043,0.0039,0.0034,0.0027,0.0021,0.0011,0.6131,0.5613,0.5083,0.4409,0.3535,0.2724,0.1427,1.304,1.1540000000000001,1.048,0.92,0.76,0.602,0.32299999999999995,170.9043,151.2451,137.3526,120.5767,99.6068,78.8991,42.3329
58,1.3-22,0.0077,10.5679,33.3774,37.4,7.0158,0.405,52.1,0.0047,0.0046,0.0043,0.0038,0.0031,0.0025,0.0014,0.6141,0.5992,0.5576,0.4916,0.40299999999999997,0.3168,0.1799,1.319,1.256,1.173,1.048,0.884,0.7120000000000001,0.415,170.8549,162.6943,151.94299999999998,135.7513,114.5078,92.228,53.7565
59,1.3-23,0.0076,10.4406,31.0458,35.7,6.8859,0.4069,51.3,0.0047,0.0044,0.0041,0.0038,0.0032,0.0026,0.0014,0.6201,0.5818,0.5384,0.4974,0.4237,0.3465,0.1798,1.3130000000000002,1.2,1.114,1.043,0.9129999999999999,0.765,0.406,172.0839,157.2739,146.0026,136.6973,119.6592,100.2621,53.211000000000006
60,1.3-24,0.0074,10.1859,38.7341,39.2,7.0158,0.4027,51.9,0.0047,0.0045,0.0042,0.0038,0.0032,0.0026,0.0014,0.6347,0.6046,0.5602,0.5159,0.4294,0.3444,0.1825,1.3159999999999998,1.214,1.127,1.052,0.902,0.745,0.408,176.8817,163.172,151.4785,141.3979,121.2366,100.1344,54.8387
61,1.3-25,0.0075,10.3132,37.4899,38.9,6.8859,0.3701,48.3,0.0031,0.0028,0.0024,0.0017,0.0012,0.0008,0.0004,0.4089,0.3764,0.3179,0.2316,0.1644,0.1124,0.0551,0.856,0.7809999999999999,0.654,0.484,0.359,0.252,0.13,113.6786,103.7185,86.8526,64.2762,47.676,33.4661,17.2643
