,cell_id,cathode_weight,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,energy_0.1C,energy_0.2C,energy_0.5C,energy_1C,energy_2C,energy_3C,energy_5C,energy_density_0.1C,energy_density_0.2C,energy_density_0.5C,energy_density_1C,energy_density_2C,energy_density_3C,energy_density_5C,capacity_0.1C,capacity_0.2C,capacity_0.5C,capacity_1C,capacity_2C,capacity_3C,capacity_5C,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C
99,2.2-11,0.0096,13.1144,24.5831,41.0,8.445,0.3599,58.3,0.006,0.0056,0.0051,0.0046,0.0038,0.003,0.0018,0.6279,0.5835,0.5271,0.4762,0.3962,0.3097,0.1925,1.669,1.493,1.355,1.244,1.065,0.845,0.536,174.2171,155.8455,141.4405,129.8539,111.1691,88.2046,55.9499
100,2.2-13,0.0096,13.1144,18.8428,38.1,8.38,0.3,52.9,0.0048,0.0047,0.0038,0.0027,0.0019,0.0012,0.0006,0.5013,0.4921,0.3929,0.28600000000000003,0.1937,0.1269,0.0635,1.3880000000000001,1.319,1.05,0.7709999999999999,0.532,0.35600000000000004,0.18600000000000003,144.8852,137.6827,109.6033,80.4802,55.5324,37.1608,19.4155
101,2.2-14,0.0097,13.2417,19.7401,38.9,8.5749,0.3294,56.5,0.0053,0.0053,0.0045,0.0034,0.0022,0.0014,0.0007,0.5443,0.5491,0.4605,0.34600000000000003,0.2279,0.145,0.0752,1.505,1.459,1.2209999999999999,0.9259999999999999,0.625,0.40399999999999997,0.217,155.636,150.879,126.2668,95.7601,64.6329,41.7787,22.4405
102,2.2-15,0.0093,12.7324,18.6442,36.9,8.5749,0.3123,55.1,0.005,0.0051,0.0042,0.0032,0.0021,0.0013,0.0007,0.5393,0.5474,0.4511,0.3463,0.225,0.141,0.0727,1.429,1.3940000000000001,1.149,0.8959999999999999,0.596,0.37799999999999995,0.20199999999999999,153.6559,149.8925,123.5484,96.3441,64.086,40.6452,21.7204
103,2.2-16,0.0098,13.369000000000002,20.6012,39.7,8.5099,0.2449,49.8,0.0054,0.0052,0.0043,0.0032,0.002,0.0014,0.0007,0.5511,0.5333,0.4415,0.3267,0.2073,0.1381,0.068,1.548,1.446,1.203,0.9059999999999999,0.574,0.39,0.2,158.4442,148.0041,123.132,92.7329,58.7513,39.9181,20.4708
104,2.2-17,0.0094,12.8597,17.3828,36.7,8.445,0.3252,55.3,0.005,0.005,0.0044,0.0035,0.0024,0.0016,0.0008,0.5272,0.5311,0.4682,0.3725,0.2527,0.1665,0.0883,1.406,1.3769999999999998,1.2109999999999999,0.972,0.677,0.45299999999999996,0.249,149.7338,146.6454,128.967,103.5144,72.098,48.2428,26.5176
105,2.2-18,0.0094,12.8597,18.2736,37.1,8.445,0.3276,55.5,0.005,0.0049,0.0042,0.0033,0.0022,0.0014,0.0008,0.5369,0.5243,0.4481,0.3497,0.2305,0.152,0.0894,1.442,1.344,1.148,0.907,0.615,0.41200000000000003,0.251,153.5676,143.131,122.2577,96.5921,65.4952,43.8765,26.7306
106,2.2-19,0.0097,13.2417,20.3543,39.2,8.445,0.3276,55.5,0.0057,0.0058,0.0054,0.0047,0.0035,0.0022,0.001,0.5922,0.6034,0.5552,0.4873,0.359,0.2271,0.106,1.594,1.5759999999999998,1.463,1.308,0.9890000000000001,0.633,0.303,164.8397,162.9783,151.2927,135.2637,102.2751,65.4602,31.334
107,2.2-20,0.0099,13.4963,20.0464,39.8,8.445,0.2946,52.9,0.0053,0.0053,0.0046,0.0037,0.0027,0.0019,0.0011,0.5346,0.5361,0.4693,0.373,0.2713,0.1924,0.1071,1.518,1.453,1.2690000000000001,1.0190000000000001,0.76,0.547,0.314,153.9554,147.3631,128.7018,103.3469,77.0791,55.4767,31.8458
108,2.2-21,0.0096,13.1144,19.4768,38.4,8.5099,0.31,54.5,0.0053,0.0053,0.0044,0.0034,0.0023,0.0015,0.0008,0.5536,0.5568,0.4599,0.3574,0.2437,0.1612,0.0865,1.506,1.469,1.213,0.951,0.665,0.446,0.249,157.2025,153.3403,126.618,99.2693,69.4155,46.5553,25.9917
109,2.2-24,0.0098,13.369000000000002,21.3932,40.1,8.5099,0.3151,54.9,0.0059,0.0057,0.0052,0.0048,0.0038,0.0024,0.0011,0.6005,0.5812,0.5354,0.49,0.3928,0.2487,0.1095,1.631,1.5330000000000001,1.423,1.324,1.0959999999999999,0.698,0.315,166.9396,156.9089,145.65,135.5169,112.1801,71.4432,32.2416
110,2.2-25,0.0095,12.987,19.4192,38.0,8.5099,0.2479,50.0,0.0054,0.0053,0.0044,0.0036,0.0028,0.0019,0.0009,0.5662,0.5568,0.46299999999999997,0.3756,0.2899,0.1984,0.0993,1.526,1.454,1.203,0.988,0.785,0.547,0.28300000000000003,160.8008,153.2139,126.765,104.1096,82.7187,57.6396,29.8209
111,2.2-29,0.0095,12.987,17.907,37.3,8.5749,0.3376,57.2,0.0052,0.0053,0.0045,0.0039,0.0028,0.0018,0.0008,0.5449,0.5528,0.4758,0.4115,0.2897,0.1865,0.0894,1.4569999999999999,1.443,1.24,1.089,0.784,0.512,0.254,153.53,152.0548,130.6639,114.7524,82.6133,53.9515,26.765
112,2.2-31,0.0097,13.2417,22.1419,40.1,8.5749,0.2267,49.0,0.0053,0.005,0.0042,0.0033,0.0024,0.0018,0.001,0.5458,0.5206,0.4321,0.3359,0.2491,0.1834,0.10099999999999999,1.5030000000000001,1.396,1.1540000000000001,0.9059999999999999,0.687,0.516,0.29600000000000004,155.4292,144.364,119.3382,93.6918,71.0445,53.3609,30.6101
113,2.2-32,0.0099,13.4963,22.5754,41.1,8.6398,0.2365,50.0,0.0046,0.0044,0.0035,0.0024,0.0017,0.0012,0.0006,0.46399999999999997,0.4442,0.3545,0.2476,0.1768,0.1185,0.0564,1.327,1.2329999999999999,0.988,0.6859999999999999,0.504,0.34700000000000003,0.172,134.5842,125.0507,100.2028,69.574,51.1156,35.1927,17.4442
114,2.2-33,0.0096,13.1144,23.4631,40.4,8.445,0.2919,52.7,0.0054,0.0052,0.0044,0.0036,0.0027,0.0018,0.0009,0.5621,0.542,0.4557,0.3799,0.2801,0.1839,0.0943,1.524,1.4180000000000001,1.187,1.003,0.765,0.51,0.271,159.0814,148.0167,123.904,104.6973,79.8539,53.2359,28.2881
115,2.3-1,0.0097,13.2417,30.6198,45.0,8.2501,0.4024,61.0,0.0064,0.0061,0.0059,0.0056,0.0051,0.0036,0.0013,0.6644,0.6354,0.6109,0.5813,0.5229,0.3724,0.1319,1.765,1.651,1.599,1.545,1.4340000000000002,1.038,0.38,182.5233,170.7342,165.3568,159.7725,148.2937,107.3423,39.2968
116,2.3-3,0.0098,13.369000000000002,29.9526,45.0,8.38,0.39299999999999996,61.0,0.0063,0.0059,0.0057,0.0057,0.0052,0.0043,0.0025,0.6398,0.6055,0.5837,0.5832,0.5354,0.4446,0.2577,1.72,1.58,1.5330000000000001,1.56,1.476,1.249,0.738,176.0491,161.7196,156.9089,159.6725,151.0747,127.8403,75.5374
117,2.3-4,0.0097,13.2417,30.6198,45.0,8.1851,0.4071,61.0,0.0063,0.006,0.006,0.0057,0.0053,0.0045,0.0025,0.6554,0.6213,0.6149,0.5924,0.5464,0.4624,0.2535,1.7480000000000002,1.607,1.605,1.569,1.4909999999999999,1.291,0.723,180.7653,166.1841,165.9773,162.2544,154.1882,133.5057,74.7673
118,2.3-5,0.0098,13.369000000000002,29.9526,45.0,8.315,0.3977,61.0,0.0062,0.006,0.0057,0.0055,0.0047,0.0035,0.0017,0.6298,0.6105,0.5879,0.5579,0.4827,0.3571,0.1753,1.6840000000000002,1.6,1.555,1.499,1.339,1.0,0.5,172.3644,163.7666,159.1607,153.4289,137.0522,102.3542,51.1771
119,2.3-6,0.0099,13.4963,29.2855,45.0,8.1851,0.4071,61.0,0.0065,0.0063,0.0061,0.0058,0.0053,0.004,0.0016,0.6547,0.6374,0.6155,0.5894,0.5397,0.4041,0.1589,1.778,1.6840000000000002,1.639,1.5919999999999999,1.501,1.141,0.46,180.3245,170.7911,166.2272,161.4605,152.2312,115.7201,46.6531
120,2.3-7,0.0099,13.4963,33.7052,48.0,8.5749,0.3123,55.1,0.0062,0.006,0.0059,0.0057,0.0052,0.0042,0.0022,0.6317,0.6107,0.5981,0.5773,0.5294,0.4287,0.2185,1.712,1.611,1.5919999999999999,1.561,1.476,1.218,0.629,173.6308,163.3874,161.4605,158.3164,149.6957,123.5294,63.7931
121,2.3-8,0.0095,12.987,37.5088,49.0,8.445,0.3325,55.9,0.0062,0.0059,0.0057,0.0054,0.0051,0.0043,0.0024,0.6548,0.6215,0.5962,0.5648,0.5343,0.4525,0.257,1.7169999999999999,1.577,1.528,1.475,1.452,1.272,0.735,180.9273,166.1749,161.0116,155.4268,153.0032,134.0358,77.45
122,2.3-9,0.01,13.6237,28.6184,45.0,8.5749,0.3353,57.0,0.0063,0.006,0.0057,0.0055,0.0052,0.0044,0.0026,0.634,0.6015,0.5767,0.5493,0.5267,0.4417,0.2603,1.7380000000000002,1.599,1.546,1.496,1.484,1.27,0.7609999999999999,174.6734,160.7035,155.3769,150.3518,149.1457,127.6382,76.4824
123,2.3-10,0.0099,13.4963,28.491,44.5,8.445,0.3407,56.6,0.0064,0.0061,0.006,0.0058,0.0054,0.0044,0.002,0.6512,0.6213,0.6073,0.5907,0.5447,0.4428,0.2062,1.77,1.639,1.6159999999999999,1.597,1.518,1.258,0.597,179.5132,166.2272,163.8945,161.9676,153.9554,127.5862,60.5477
124,2.3-11,0.0099,13.4963,32.2946,47.0,8.5749,0.3222,55.9,0.0064,0.0061,0.006,0.0056,0.0049,0.0037,0.0016,0.6497,0.6222,0.6033,0.5678,0.4981,0.3714,0.1589,1.768,1.652,1.619,1.55,1.4040000000000001,1.067,0.469,179.3103,167.5456,164.1988,157.2008,142.3935,108.215,47.5659
125,2.3-15,0.0098,13.369000000000002,35.4071,48.8,8.38,0.3092,53.6,0.0063,0.0061,0.0057,0.0052,0.004,0.0017,0.0005,0.6397,0.6267,0.5782,0.5291,0.4103,0.1781,0.0483,1.725,1.655,1.5390000000000001,1.433,1.147,0.508,0.142,176.5609,169.3961,157.523,146.6735,117.4002,51.9959,14.5343
126,2.3-16,0.01,13.6237,26.6627,43.8,8.2501,0.3693,57.8,0.006,0.0056,0.0049,0.0043,0.0037,0.0031,0.0019,0.5982,0.5658,0.496,0.4322,0.3763,0.312,0.1905,1.655,1.524,1.328,1.173,1.058,0.893,0.561,166.3317,153.1658,133.4673,117.8895,106.3317,89.7487,56.3819
127,2.3-17,0.0099,13.4963,27.8424,44.1,8.315,0.3588,57.3,0.0062,0.0057,0.0053,0.0049,0.0044,0.0039,0.0023,0.6243,0.5812,0.5329,0.4917,0.45,0.3951,0.228,1.7662,1.5794,1.4551,1.3648,1.2919999999999998,1.1621,0.687,179.1254,160.1838,147.5783,138.4186,131.0384,117.861,69.6773
128,2.3-18,0.01,13.6237,31.0693,46.6,8.2501,0.3311,54.5,0.0063,0.0058,0.0051,0.0044,0.0039,0.0033,0.0019,0.6306,0.583,0.5115,0.4424,0.3957,0.3288,0.1916,1.7649,1.5895,1.3969,1.2269,1.1399,0.9723,0.5864,177.3767,159.7491,140.3947,123.3031,114.5647,97.7219,58.9336
129,2.3-19,0.0099,13.4963,34.1169,48.3,8.1851,0.3472,55.4,0.0062,0.0061,0.0058,0.0054,0.0046,0.0026,0.0007,0.6324,0.618,0.5827,0.5423,0.4664,0.2644,0.0701,1.7729,1.6902,1.608,1.5206,1.3522,0.7765,0.2135,179.8115,171.4202,163.0793,154.2138,137.1421,78.7506,21.651
130,2.3-20,0.01,13.6237,32.2327,47.4,8.2501,0.3237,53.9,0.0064,0.0061,0.0059,0.0057,0.0052,0.0039,0.0014,0.6433,0.6125,0.5920000000000001,0.5771,0.5225,0.3901,0.1391,1.81,1.6668,1.6237,1.6103,1.5032,1.1437,0.4231,181.9085,167.5161,163.181,161.8366,151.0749,114.9419,42.527
131,2.3-22,0.01,13.6237,31.0693,46.6,8.315,0.3565,57.1,0.0061,0.0058,0.0052,0.0046,0.0039,0.003,0.0018,0.6097,0.5775,0.5263,0.4638,0.3887,0.3001,0.1778,1.7167,1.578,1.4378,1.2861,1.1162,0.8759,0.5333,172.5361,158.5942,144.5065,129.2517,112.1847,88.0345,53.5945
132,2.3-23,0.01,13.751,27.4677,44.7,8.2501,0.3582,56.8,0.0063,0.0061,0.0057,0.0054,0.0046,0.0026,0.0008,0.6273,0.6067,0.5646,0.5372,0.4603,0.2604,0.0812,1.7573,1.6576,1.5562,1.5089,1.3353,0.7614,0.2442,175.0251,165.0992,154.9997,150.2903,132.9954,75.8326,24.3246
133,2.3-25,0.01,13.6237,31.5102,46.9,8.1851,0.32899999999999996,53.9,0.0062,0.0061,0.0059,0.0056,0.0049,0.0038,0.0018,0.6269,0.6127,0.59,0.5598,0.4908,0.3856,0.1831,1.75,1.6725,1.6269,1.5709,1.4217,1.1396,0.5544,175.8794,168.0899,163.5041,157.8746,142.8818,114.5352,55.7157
134,2.3-26,0.01,13.751,27.7908,44.9,8.445,0.3643,58.7,0.0064,0.0062,0.006,0.0057,0.005,0.0036,0.0013,0.6339,0.6148,0.5932,0.5631,0.5012,0.35600000000000004,0.129,1.771,1.6780000000000002,1.635,1.5773,1.4472,1.0411,0.3871,176.3918,167.1297,162.8527,157.0988,144.1435,103.6958,38.5577
135,2.3-27,0.01,13.751,31.3095,47.2,8.2501,0.3593,56.9,0.0063,0.0061,0.006,0.0057,0.005,0.0028,0.0007,0.626,0.6089,0.5944,0.5634,0.4931,0.27699999999999997,0.0743,1.7444,1.6583,1.6358,1.5764,1.4259,0.8107,0.2244,173.7492,165.17,162.9254,157.0079,142.0242,80.74600000000001,22.3528
136,2.3-28,0.01,13.751,29.2098,45.8,8.1202,0.3428,54.6,0.0063,0.0057,0.0051,0.0043,0.0033,0.0024,0.0015,0.622,0.5704,0.5102,0.4313,0.3296,0.2369,0.14400000000000002,1.7429,1.5552,1.3906,1.1923,0.9397,0.6857,0.4304,173.5967,154.8987,138.5038,118.7542,93.5962,68.2968,42.8691
137,2.3-29,0.0097,13.2417,35.0912,48.1,8.315,0.3107,53.3,0.006,0.0056,0.0052,0.0048,0.0042,0.0035,0.002,0.6189,0.5773,0.5372,0.4919,0.4361,0.364,0.2105,1.7409999999999999,1.5744,1.4727,1.3741,1.2619,1.0786,0.6438,180.0439,162.814,152.2903,142.1001,130.4992,111.5409,66.5805
138,2.3-30,0.0098,13.369000000000002,34.4671,48.1,8.38,0.3435,56.4,0.0054,0.0056,0.005,0.0045,0.0037,0.0027,0.0011,0.5523,0.5722,0.511,0.4607,0.3791,0.2771,0.115,1.547,1.5896,1.4199,1.3074,1.1144,0.8331,0.3594,158.3437,162.7047,145.3273,133.8172,114.0667,85.2747,36.7904
139,2.3-32,0.0096,13.1144,27.0733,42.4,8.38,0.3053,53.3,0.0051,0.0051,0.0042,0.0032,0.0024,0.0018,0.0011,0.537,0.5361,0.4416,0.3292,0.2476,0.18600000000000003,0.1116,1.5161,1.5103,1.2366,0.9249,0.7115,0.547,0.3432,158.2521,157.6465,129.0774,96.5479,74.2673,57.0937,35.8199
140,3.1-1,0.0111,15.1516,22.3388,46.0,10.3938,0.2934,65.0,0.0067,0.0062,0.005,0.004,0.003,0.0023,0.0015,0.6007,0.5609,0.4483,0.3631,0.2737,0.2089,0.1351,1.8419999999999999,1.6680000000000001,1.3359999999999999,1.09,0.8390000000000001,0.652,0.435,166.3957,150.6775,120.6865,98.4643,75.7904,58.8979,39.2954
141,3.1-2,0.0112,15.2789,21.6862,46.0,10.3938,0.2934,65.0,0.0062,0.0059,0.0049,0.0033,0.0023,0.0016,0.0009,0.5528,0.5303,0.4427,0.2979,0.2026,0.1386,0.0836,1.7519999999999998,1.63,1.379,0.903,0.631,0.441,0.278,156.9893,146.0574,123.5663,80.914,56.5412,39.5161,24.9104
142,3.1-5,0.0111,15.1516,22.3388,46.0,10.3288,0.2978,65.0,0.0066,0.0062,0.005,0.0039,0.0027,0.002,0.0013,0.5979,0.5567,0.4538,0.3508,0.2401,0.18,0.1127,1.838,1.659,1.369,1.053,0.7340000000000001,0.562,0.365,166.0343,149.8645,123.6676,95.12200000000001,66.3053,50.7678,32.972
143,3.1-8,0.011000000000000001,15.0242,20.5741,44.6,10.2639,0.28800000000000003,63.7,0.0044,0.0045,0.0037,0.0027,0.0017,0.001,0.0004,0.3992,0.4103,0.3344,0.248,0.1541,0.0893,0.0375,1.188,1.244,1.008,0.76,0.48700000000000004,0.289,0.125,108.2954,113.4002,91.887,69.2799,44.3938,26.3446,11.3947
144,3.1-10,0.0114,15.6609,19.2014,45.7,10.3938,0.2733,63.2,0.0044,0.0042,0.0028,0.0013,0.0006,0.0004,0.0001,0.3855,0.3642,0.2453,0.1148,0.0561,0.0312,0.012,1.262,1.1909999999999998,0.82,0.379,0.19,0.109,0.044000000000000004,110.3147,104.1084,71.6783,33.1294,16.6084,9.527999999999999,3.8462
145,3.1-11,0.0114,15.6609,20.9315,46.7,10.4588,0.2756,63.8,0.004,0.0037,0.0024,0.0011,0.0005,0.0003,0.0001,0.3516,0.3259,0.2107,0.0968,0.046,0.0238,0.0081,1.175,1.073,0.703,0.319,0.157,0.084,0.03,102.7098,93.7937,61.4511,27.8846,13.7238,7.3427,2.6224
146,3.1-12,0.0114,15.6609,20.2484,46.3,10.2639,0.318,66.5,0.0068,0.0067,0.0062,0.0055,0.0025,0.0011,0.0004,0.5932,0.5888,0.5437,0.4804,0.2169,0.0922,0.0319,1.858,1.82,1.703,1.5419999999999998,0.7090000000000001,0.309,0.11,162.4126,159.0909,148.8636,134.7902,61.9755,27.0105,9.6154
147,3.1-13,0.0114,15.5335,20.0333,45.8,10.3288,0.2419,60.2,0.0065,0.006,0.0045,0.0031,0.0019,0.0012,0.0005,0.5705,0.5285,0.3961,0.2705,0.1674,0.1047,0.045,1.796,1.6369999999999998,1.24,0.855,0.545,0.35100000000000003,0.16,158.2379,144.2291,109.2511,75.3304,48.0176,30.9251,14.0969
148,3.1-14,0.0114,15.5335,18.6116,45.0,10.3288,0.2639,62.0,0.0065,0.0066,0.0055,0.0044,0.0028,0.0017,0.0008,0.5694,0.5791,0.486,0.3891,0.2489,0.1517,0.0687,1.7919999999999998,1.797,1.521,1.245,0.8170000000000001,0.509,0.242,157.8855,158.326,134.0088,109.6916,71.9824,44.8458,21.3216
149,3.1-15,0.0114,15.6609,19.9025,46.1,10.3288,0.2662,62.2,0.0053,0.0054,0.0044,0.0031,0.002,0.0013,0.0006,0.4645,0.4749,0.3866,0.2745,0.1708,0.1102,0.0487,1.535,1.524,1.24,0.88,0.56,0.371,0.17,134.1783,133.2168,108.3916,76.9231,48.9511,32.4301,14.8601
150,3.1-16,0.0114,15.6609,19.5534,45.9,10.3288,0.27899999999999997,63.3,0.0067,0.0066,0.0058,0.0052,0.0035,0.0021,0.0008,0.5869,0.5793,0.5086,0.4526,0.3084,0.1821,0.0717,1.8619999999999999,1.8,1.5930000000000002,1.449,1.014,0.611,0.25,162.7622,157.3427,139.2483,126.6608,88.6364,53.4091,21.8532
151,3.1-17,0.0114,15.6609,20.7619,46.6,10.3938,0.258,61.9,0.0047,0.0047,0.0038,0.0028,0.0013,0.0007,0.0003,0.4094,0.4069,0.3344,0.2412,0.1143,0.0571,0.0233,1.3330000000000002,1.3119999999999998,1.083,0.784,0.38,0.195,0.08199999999999999,116.521,114.6853,94.6678,68.5315,33.2168,17.0455,7.1678
152,3.1-18,0.0114,15.6609,19.3778,45.8,10.3288,0.28800000000000003,64.1,0.0059,0.0056,0.0045,0.0029,0.0015,0.0009,0.0003,0.5136,0.4894,0.3897,0.2511,0.1334,0.0753,0.0293,1.672,1.5759999999999998,1.2570000000000001,0.813,0.44,0.256,0.10400000000000001,146.1539,137.7622,109.8776,71.0664,38.4615,22.3776,9.0909
153,3.1-19,0.0114,15.6609,19.0242,45.6,10.3288,0.2406,60.1,0.005,0.0048,0.0039,0.0026,0.0013,0.0007,0.0003,0.439,0.4217,0.3434,0.22899999999999998,0.1141,0.0592,0.0224,1.442,1.3559999999999999,1.111,0.7440000000000001,0.38,0.20199999999999999,0.08,126.04899999999999,118.5315,97.1154,65.035,33.2168,17.6573,6.992999999999999
154,3.1-20,0.0112,15.2789,23.0249,46.8,10.3288,0.2924,64.5,0.0054,0.005,0.0039,0.0024,0.0011,0.0005,0.0002,0.4793,0.4514,0.3473,0.2149,0.0957,0.0452,0.0161,1.5719999999999998,1.425,1.103,0.6859999999999999,0.315,0.153,0.057,140.8602,127.6882,98.8351,61.4695,28.2258,13.7097,5.1075
155,3.1-21,0.011000000000000001,15.0242,19.6736,44.1,10.3938,0.271,63.0,0.0047,0.0049,0.0039,0.0026,0.0012,0.0006,0.0002,0.4249,0.4438,0.3564,0.2398,0.1086,0.053,0.0212,1.308,1.371,1.099,0.745,0.34600000000000003,0.17300000000000001,0.07200000000000001,119.2343,124.9772,100.1823,67.9125,31.5406,15.7703,6.5634
156,3.1-22,0.011000000000000001,15.0242,22.4859,45.7,10.3288,0.2444,60.4,0.0052,0.0045,0.0034,0.0021,0.0011,0.0006,0.0002,0.4726,0.4078,0.3101,0.1914,0.0954,0.0519,0.0183,1.5219999999999998,1.284,0.978,0.602,0.307,0.17300000000000001,0.064,138.74200000000002,117.0465,89.1522,54.8769,27.9854,15.7703,5.8341
157,3.1-23,0.0114,15.5335,18.6116,45.0,10.3288,0.2924,64.5,0.0054,0.0056,0.0044,0.0032,0.0017,0.0009,0.0003,0.474,0.4917,0.3871,0.2828,0.1501,0.0776,0.0276,1.5438,1.551,1.225,0.912,0.495,0.263,0.098,136.015,136.65200000000002,107.9295,80.3524,43.6123,23.1718,8.6344
158,3.1-24,0.0113,15.4062,18.737000000000002,44.7,10.3288,0.2639,62.0,0.0048,0.0045,0.0032,0.0018,0.0008,0.0004,0.0002,0.4251,0.3991,0.2854,0.16,0.0736,0.039,0.0141,1.3659999999999999,1.281,0.927,0.521,0.245,0.134,0.051,121.4222,113.8667,82.4,46.3111,21.7778,11.9111,4.5333
159,3.1-26,0.0114,15.5335,20.7256,46.2,10.3938,0.2384,60.3,0.0057,0.0054,0.0043,0.0025,0.0013,0.0007,0.0002,0.4998,0.4726,0.3752,0.2239,0.1122,0.0614,0.021,1.651,1.507,1.209,0.725,0.369,0.209,0.075,145.4626,132.7753,106.5198,63.8767,32.510999999999996,18.4141,6.6079
160,3.1-27,0.0114,15.5335,19.3287,45.4,10.3938,0.2446,60.8,0.0054,0.0051,0.0039,0.0023,0.0011,0.0005,0.0002,0.4793,0.4477,0.3418,0.2063,0.0926,0.0437,0.016,1.5759999999999998,1.4369999999999998,1.1,0.6679999999999999,0.308,0.151,0.057999999999999996,138.8546,126.6079,96.9163,58.8546,27.1366,13.304,5.1101
161,3.2-1,0.0111,15.1516,27.0936,49.0,10.4588,0.3398,70.0,0.0069,0.0064,0.0049,0.0039,0.0029,0.0021,0.0013,0.6202,0.5812,0.44299999999999995,0.348,0.2594,0.1906,0.1192,1.9080000000000001,1.7469999999999999,1.32,1.052,0.8029999999999999,0.601,0.39,172.3577,157.8139,119.2412,95.0316,72.5384,54.2909,35.2304
162,3.2-4,0.0114,15.1516,27.0936,49.0,10.3938,0.3439,70.0,0.0069,0.0064,0.0053,0.0041,0.0026,0.0017,0.0009,0.6059,0.5569,0.4619,0.3543,0.2239,0.14400000000000002,0.0764,1.921,1.71,1.422,1.1059999999999999,0.7120000000000001,0.466,0.258,167.9196,149.4755,124.3007,96.6783,62.2378,40.7343,22.5525
163,3.2-5,0.0113,15.6609,24.6429,49.0,10.3938,0.3439,70.0,0.0073,0.0067,0.0057,0.0048,0.0033,0.0023,0.0014,0.6476,0.5953,0.5056,0.4225,0.2966,0.2066,0.1251,2.0269999999999997,1.808,1.537,1.308,0.937,0.6629999999999999,0.415,180.1778,160.7111,136.6222,116.2667,83.2889,58.9333,36.8889
164,3.2-6,0.0115,15.4062,25.8682,49.0,10.3288,0.348,70.0,0.0073,0.0068,0.0062,0.0051,0.0037,0.0025,0.0015,0.6338,0.5894,0.5338,0.4416,0.3193,0.2192,0.1255,2.0269999999999997,1.8230000000000002,1.661,1.393,1.032,0.722,0.42700000000000005,175.8023,158.1093,144.059,120.8153,89.5056,62.6193,37.0338
165,3.2-8,0.0115,15.5335,20.0333,45.8,10.2639,0.2685,62.0,0.0044,0.0046,0.0038,0.0026,0.0015,0.0009,0.0004,0.3824,0.3999,0.3282,0.2265,0.1312,0.0814,0.0362,1.2429999999999999,1.29,1.061,0.7290000000000001,0.429,0.273,0.127,107.8057,111.8821,92.0208,63.2264,37.2073,23.6774,11.0147
166,3.2-10,0.0116,15.9155,18.6001,46.1,10.3288,0.2543,61.2,0.0042,0.0042,0.0029,0.0018,0.0009,0.0005,0.0002,0.3625,0.3589,0.2516,0.1523,0.0755,0.0396,0.0152,1.196,1.199,0.848,0.51,0.259,0.14,0.055999999999999994,102.8375,103.0954,72.9149,43.8521,22.27,12.0378,4.8151
167,3.2-11,0.0114,15.5335,18.9718,45.2,10.2639,0.2626,61.5,0.0051,0.0053,0.0044,0.0034,0.0016,0.0008,0.0003,0.4448,0.4663,0.3829,0.2981,0.1389,0.0667,0.0271,1.433,1.483,1.2109999999999999,0.958,0.456,0.22399999999999998,0.095,126.2555,130.6608,106.696,84.4053,40.1762,19.7357,8.37
168,3.2-12,0.0116,15.9155,19.3003,46.5,10.2639,0.2553,60.9,0.005,0.0051,0.0037,0.0023,0.0015,0.001,0.0004,0.4254,0.4373,0.3207,0.1964,0.1282,0.0882,0.0375,1.368,1.445,1.069,0.645,0.43200000000000005,0.307,0.13699999999999998,117.6268,124.2476,91.9175,55.46,37.1453,26.3973,11.7799
169,3.2-13,0.0115,15.7882,18.3658,45.6,10.2639,0.2697,62.1,0.0062,0.0061,0.0049,0.0038,0.0023,0.0015,0.0007,0.5339,0.5291,0.4261,0.3295,0.1993,0.1296,0.0623,1.745,1.69,1.3630000000000002,1.07,0.6579999999999999,0.43799999999999994,0.221,151.3443,146.5742,118.2134,92.8014,57.0685,37.9879,19.1674
170,3.2-14,0.0114,15.6609,19.2014,45.7,10.2639,0.2601,61.3,0.0046,0.0045,0.0035,0.0018,0.0009,0.0006,0.0003,0.3986,0.3922,0.3016,0.1562,0.0815,0.0535,0.0221,1.273,1.2790000000000001,0.997,0.511,0.27,0.184,0.08,111.2762,111.8007,87.1504,44.6678,23.6014,16.0839,6.992999999999999
171,3.2-16,0.0115,15.7882,19.7733,46.4,10.5237,0.2711,63.8,0.0058,0.0057,0.0046,0.0033,0.002,0.0012,0.0005,0.5056,0.4913,0.4007,0.2821,0.1687,0.1064,0.0453,1.689,1.581,1.305,0.9259999999999999,0.5589999999999999,0.361,0.16,146.4874,137.1206,113.18299999999999,80.3122,48.4822,31.3096,13.8768
172,3.2-17,0.0113,15.4062,19.6359,45.2,10.4588,0.2618,62.6,0.0061,0.006,0.0049,0.0038,0.0023,0.0015,0.0007,0.5415,0.5302,0.4384,0.3386,0.2064,0.1323,0.0602,1.7180000000000002,1.649,1.374,1.069,0.6629999999999999,0.435,0.207,152.7111,146.5778,122.1333,95.0222,58.9333,38.6667,18.4
173,3.2-18,0.0114,15.5335,19.506,45.5,10.3288,0.2579,61.5,0.0051,0.0047,0.0034,0.0022,0.0012,0.0007,0.0002,0.4449,0.4096,0.3024,0.1977,0.1067,0.0592,0.0215,1.4609999999999999,1.311,0.987,0.643,0.354,0.203,0.077,128.7225,115.5066,86.9604,56.652,31.1894,17.8855,6.7841
